Valid tokens count: 84
Error tokens count: 0
Elapsed time: 0.000997781753540039 s

/*                                              	COMMENT_MULT_START                              
*/                                              	COMMENT_MULT_END                                
public                                          	KEYWORD                                         
class                                           	KEYWORD                                         
Absolute                                        	IDENTIFIER                                      
{                                               	BRACE_START                                     
static                                          	KEYWORD                                         
func                                            	KEYWORD                                         
Main                                            	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
string                                          	KEYWORD                                         
[                                               	BRACKET_START                                   
]                                               	BRACKET_END                                     
args                                            	IDENTIFIER                                      
)                                               	PARENTHESIS_END                                 
{                                               	BRACE_START                                     
//                                              	COMMENT_DELIM                                   
Float                                           	IDENTIFIER                                      
inputVar                                        	IDENTIFIER                                      
,                                               	COMMA                                           
absolute                                        	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
//                                              	COMMENT_DELIM                                   
PrintLine                                       	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
"A Program for Absolute Value (| |) "           	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
PrintLine                                       	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
"Example: |-6969| = 6969"                       	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
//                                              	COMMENT_DELIM                                   
string                                          	KEYWORD                                         
input                                           	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
ReadLine                                        	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
"\n\nEnter the value: "                         	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
inputVar                                        	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
Float                                           	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
input                                           	IDENTIFIER                                      
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
absolute                                        	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
|                                               	VERTICAL_BAR                                    
inputVar                                        	IDENTIFIER                                      
|                                               	VERTICAL_BAR                                    
;                                               	END_STATEMENT                                   
//                                              	COMMENT_DELIM                                   
if                                              	KEYWORD                                         
(                                               	PARENTHESIS_START                               
inputVar                                        	IDENTIFIER                                      
<                                               	LEFT_ANGLE_BRACKET                              
0                                               	NUM_LITERAL                                     
)                                               	PARENTHESIS_END                                 
absolute                                        	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
inputVar                                        	IDENTIFIER                                      
*                                               	MULT_OP                                         
(                                               	PARENTHESIS_START                               
-                                               	MINUS_OP                                        
1                                               	NUM_LITERAL                                     
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
else                                            	KEYWORD                                         
absolute                                        	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
inputVar                                        	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
//                                              	COMMENT_DELIM                                   
print                                           	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
absolute                                        	IDENTIFIER                                      
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
}                                               	BRACE_END                                       
}                                               	BRACE_END                                       
