Valid tokens count: 126
Error tokens count: 0
Elapsed time: 0.01296544075012207 s

/*                                              	COMMENT_MULT_START                              
*/                                              	COMMENT_MULT_END                                
class                                           	KEYWORD                                         
TriangleAngleCalculator                         	IDENTIFIER                                      
{                                               	BRACE_START                                     
static                                          	KEYWORD                                         
func                                            	KEYWORD                                         
Main                                            	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
)                                               	PARENTHESIS_END                                 
{                                               	BRACE_START                                     
PrintLine                                       	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
"Right Triangle Angle Calculator"               	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
//                                              	COMMENT_DELIM                                   
Print                                           	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
"Enter the length of the adjacent side (a): "   	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
double                                          	KEYWORD                                         
sideA                                           	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
ToDouble                                        	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
ReadLine                                        	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
)                                               	PARENTHESIS_END                                 
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
Print                                           	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
"Enter the length of the opposite side (b): "   	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
double                                          	KEYWORD                                         
sideB                                           	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
ToDouble                                        	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
ReadLine                                        	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
)                                               	PARENTHESIS_END                                 
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
//                                              	COMMENT_DELIM                                   
double                                          	KEYWORD                                         
angleInRadians                                  	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
Atan                                            	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
sideB                                           	IDENTIFIER                                      
,                                               	COMMA                                           
sideA                                           	IDENTIFIER                                      
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
double                                          	KEYWORD                                         
θ                                               	THETA                                           
=                                               	EQUALITY_OP                                     
RadiansToDegrees                                	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
angleInRadians                                  	IDENTIFIER                                      
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
//                                              	COMMENT_DELIM                                   
PrintLine                                       	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
$                                               	DOLLAR                                          
"The angle in degrees is: {θ}"                  	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
//                                              	COMMENT_DELIM                                   
double                                          	KEYWORD                                         
floorValue                                      	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
Floor                                           	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
θ                                               	THETA                                           
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
double                                          	KEYWORD                                         
ceilValue                                       	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
Ceil                                            	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
θ                                               	THETA                                           
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
//                                              	COMMENT_DELIM                                   
PrintLine                                       	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
$                                               	DOLLAR                                          
"Floor = {floorValue}"                          	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
PrintLine                                       	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
$                                               	DOLLAR                                          
"Ceiling = {ceilValue}"                         	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
}                                               	BRACE_END                                       
//                                              	COMMENT_DELIM                                   
static                                          	KEYWORD                                         
double                                          	KEYWORD                                         
RadiansToDegrees                                	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
double                                          	KEYWORD                                         
radians                                         	IDENTIFIER                                      
)                                               	PARENTHESIS_END                                 
{                                               	BRACE_START                                     
return                                          	KEYWORD                                         
radians                                         	IDENTIFIER                                      
*                                               	MULT_OP                                         
(                                               	PARENTHESIS_START                               
180                                             	NUM_LITERAL                                     
.                                               	DOT                                             
0                                               	NUM_LITERAL                                     
/                                               	DIV_OP                                          
π                                               	PI                                              
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
}                                               	BRACE_END                                       
}                                               	BRACE_END                                       
