Valid tokens count: 123
Error tokens count: 0
Elapsed time: 0.000997781753540039 s

public                                          	PUBLIC                                          
class                                           	CLASS                                           
Assignments                                     	IDENTIFIER                                      
:                                               	COLON                                           
Project                                         	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
Printable                                       	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
public                                          	PUBLIC                                          
static                                          	STATIC                                          
string                                          	STRING                                          
True                                            	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
'True'                                          	STRING_LITERAL                                  
;                                               	END_STATEMENT                                   
public                                          	PUBLIC                                          
static                                          	STATIC                                          
string                                          	STRING                                          
False                                           	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
'False'                                         	STRING_LITERAL                                  
;                                               	END_STATEMENT                                   
bool                                            	BOOL                                            
result                                          	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
public                                          	PUBLIC                                          
func                                            	FUNC                                            
GetAnswer                                       	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
string                                          	STRING                                          
question                                        	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
->                                              	DELIM_FUNC_RETURN                               
bool                                            	BOOL                                            
{                                               	LEFT_BRACE                                      
if                                              	IF                                              
(                                               	LEFT_PAREN                                      
question                                        	IDENTIFIER                                      
==                                              	REL_EQUALITY                                    
'Is Sir Mon the best prof?'                     	STRING_LITERAL                                  
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
true                                            	TRUE                                            
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
else                                            	ELSE                                            
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
True                                            	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
}                                               	RIGHT_BRACE                                     
func                                            	FUNC                                            
Main                                            	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
string                                          	STRING                                          
argc                                            	IDENTIFIER                                      
,                                               	COMMA                                           
string                                          	STRING                                          
argv                                            	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
bool                                            	BOOL                                            
isParserFinished                                	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
False                                           	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
string                                          	STRING                                          
isParserWorking                                 	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
'medyo'                                         	STRING_LITERAL                                  
;                                               	END_STATEMENT                                   
string                                          	STRING                                          
question                                        	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
'Is Sir Mon the best prof?'                     	STRING_LITERAL                                  
;                                               	END_STATEMENT                                   
result                                          	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
GetAnswer                                       	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
question                                        	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
int                                             	INT                                             
sum                                             	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
(                                               	LEFT_PAREN                                      
a                                               	IDENTIFIER                                      
+                                               	OP_ADD                                          
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
int                                             	INT                                             
expr1                                           	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
(                                               	LEFT_PAREN                                      
a                                               	IDENTIFIER                                      
+                                               	OP_ADD                                          
(                                               	LEFT_PAREN                                      
b                                               	IDENTIFIER                                      
*                                               	OP_MUL                                          
c                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
int                                             	INT                                             
expr1                                           	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
(                                               	LEFT_PAREN                                      
a                                               	IDENTIFIER                                      
^                                               	OP_EXPO                                         
2                                               	NUM_LITERAL                                     
+                                               	OP_ADD                                          
b                                               	IDENTIFIER                                      
*                                               	OP_MUL                                          
c                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
}                                               	RIGHT_BRACE                                     
