Valid tokens count: 357
Error tokens count: 0
Elapsed time: 0.002991199493408203 s

use                                             	IDENTIFIER                                      
std                                             	IDENTIFIER                                      
:                                               	COLON                                           
:                                               	COLON                                           
io                                              	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
struct                                          	KEYWORD                                         
Calculator                                      	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
impl                                            	IDENTIFIER                                      
Calculator                                      	IDENTIFIER                                      
{                                               	BRACE_START                                     
fn                                              	IDENTIFIER                                      
add                                             	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
&                                               	AMPERSAND                                       
self                                            	IDENTIFIER                                      
,                                               	COMMA                                           
a                                               	IDENTIFIER                                      
:                                               	COLON                                           
f64                                             	IDENTIFIER                                      
,                                               	COMMA                                           
b                                               	IDENTIFIER                                      
:                                               	COLON                                           
f64                                             	IDENTIFIER                                      
)                                               	PARENTHESIS_END                                 
->                                              	RETURN_TYPE_DELIM                               
f64                                             	IDENTIFIER                                      
{                                               	BRACE_START                                     
a                                               	IDENTIFIER                                      
+                                               	PLUS_OP                                         
b                                               	IDENTIFIER                                      
}                                               	BRACE_END                                       
fn                                              	IDENTIFIER                                      
subtract                                        	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
&                                               	AMPERSAND                                       
self                                            	IDENTIFIER                                      
,                                               	COMMA                                           
a                                               	IDENTIFIER                                      
:                                               	COLON                                           
f64                                             	IDENTIFIER                                      
,                                               	COMMA                                           
b                                               	IDENTIFIER                                      
:                                               	COLON                                           
f64                                             	IDENTIFIER                                      
)                                               	PARENTHESIS_END                                 
->                                              	RETURN_TYPE_DELIM                               
f64                                             	IDENTIFIER                                      
{                                               	BRACE_START                                     
a                                               	IDENTIFIER                                      
-                                               	MINUS_OP                                        
b                                               	IDENTIFIER                                      
}                                               	BRACE_END                                       
fn                                              	IDENTIFIER                                      
multiply                                        	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
&                                               	AMPERSAND                                       
self                                            	IDENTIFIER                                      
,                                               	COMMA                                           
a                                               	IDENTIFIER                                      
:                                               	COLON                                           
f64                                             	IDENTIFIER                                      
,                                               	COMMA                                           
b                                               	IDENTIFIER                                      
:                                               	COLON                                           
f64                                             	IDENTIFIER                                      
)                                               	PARENTHESIS_END                                 
->                                              	RETURN_TYPE_DELIM                               
f64                                             	IDENTIFIER                                      
{                                               	BRACE_START                                     
a                                               	IDENTIFIER                                      
*                                               	MULT_OP                                         
b                                               	IDENTIFIER                                      
}                                               	BRACE_END                                       
fn                                              	IDENTIFIER                                      
divide                                          	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
&                                               	AMPERSAND                                       
self                                            	IDENTIFIER                                      
,                                               	COMMA                                           
a                                               	IDENTIFIER                                      
:                                               	COLON                                           
f64                                             	IDENTIFIER                                      
,                                               	COMMA                                           
b                                               	IDENTIFIER                                      
:                                               	COLON                                           
f64                                             	IDENTIFIER                                      
)                                               	PARENTHESIS_END                                 
->                                              	RETURN_TYPE_DELIM                               
f64                                             	IDENTIFIER                                      
{                                               	BRACE_START                                     
if                                              	KEYWORD                                         
b                                               	IDENTIFIER                                      
!=                                              	LOGICAL_NOT_EQUALS                              
0                                               	NUM_LITERAL                                     
.                                               	DOT                                             
0                                               	NUM_LITERAL                                     
{                                               	BRACE_START                                     
a                                               	IDENTIFIER                                      
/                                               	DIV_OP                                          
b                                               	IDENTIFIER                                      
}                                               	BRACE_END                                       
else                                            	KEYWORD                                         
{                                               	BRACE_START                                     
eprintln                                        	IDENTIFIER                                      
!                                               	LOGICAL_NOT                                     
(                                               	PARENTHESIS_START                               
"Error: Division by zero"                       	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
f64                                             	IDENTIFIER                                      
:                                               	COLON                                           
:                                               	COLON                                           
NAN                                             	IDENTIFIER                                      
//                                              	COMMENT_DELIM                                   
}                                               	BRACE_END                                       
}                                               	BRACE_END                                       
}                                               	BRACE_END                                       
fn                                              	IDENTIFIER                                      
main                                            	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
)                                               	PARENTHESIS_END                                 
{                                               	BRACE_START                                     
let                                             	IDENTIFIER                                      
calculator                                      	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
Calculator                                      	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
let                                             	IDENTIFIER                                      
mut                                             	IDENTIFIER                                      
input                                           	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
String                                          	IDENTIFIER                                      
:                                               	COLON                                           
:                                               	COLON                                           
new                                             	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
println                                         	IDENTIFIER                                      
!                                               	LOGICAL_NOT                                     
(                                               	PARENTHESIS_START                               
"Enter two numbers:"                            	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
io                                              	IDENTIFIER                                      
:                                               	COLON                                           
:                                               	COLON                                           
stdin                                           	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
)                                               	PARENTHESIS_END                                 
.                                               	DOT                                             
read_line                                       	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
&                                               	AMPERSAND                                       
mut                                             	IDENTIFIER                                      
input                                           	IDENTIFIER                                      
)                                               	PARENTHESIS_END                                 
.                                               	DOT                                             
expect                                          	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
"Failed to read line"                           	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
let                                             	IDENTIFIER                                      
num1                                            	IDENTIFIER                                      
:                                               	COLON                                           
f64                                             	IDENTIFIER                                      
=                                               	EQUALITY_OP                                     
input                                           	IDENTIFIER                                      
.                                               	DOT                                             
trim                                            	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
)                                               	PARENTHESIS_END                                 
.                                               	DOT                                             
parse                                           	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
)                                               	PARENTHESIS_END                                 
.                                               	DOT                                             
expect                                          	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
"Invalid input"                                 	STRING_LITERAL                                  
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
input                                           	IDENTIFIER                                      
.                                               	DOT                                             
clear                                           	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
)                                               	PARENTHESIS_END                                 
;                                               	END_STATEMENT                                   
io                                              	IDENTIFIER                                      
:                                               	COLON                                           
:                                               	COLON                                           
stdin                                           	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
)                                               	PARENTHESIS_END                                 
.                                               	DOT                                             
read_line                                       	IDENTIFIER                                      
(                                               	PARENTHESIS_START                               
&                                               	AMPERSAND                                       
