Valid tokens count: 194
Error tokens count: 0
Elapsed time: 0.0009975433349609375 s

public                                          	PUBLIC                                          
class                                           	CLASS                                           
Conditionals                                    	IDENTIFIER                                      
:                                               	COLON                                           
Program                                         	IDENTIFIER                                      
{                                               	LEFT_BRACE                                      
public                                          	PUBLIC                                          
static                                          	STATIC                                          
func                                            	FUNC                                            
Max                                             	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
float                                           	FLOAT                                           
a                                               	IDENTIFIER                                      
,                                               	COMMA                                           
float                                           	FLOAT                                           
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
->                                              	DELIM_FUNC_RETURN                               
float                                           	FLOAT                                           
{                                               	LEFT_BRACE                                      
if                                              	IF                                              
(                                               	LEFT_PAREN                                      
a                                               	IDENTIFIER                                      
>                                               	RIGHT_ANGLED_BRACKET                            
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
c                                               	IDENTIFIER                                      
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
a                                               	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
else                                            	ELSE                                            
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
b                                               	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
}                                               	RIGHT_BRACE                                     
public                                          	PUBLIC                                          
static                                          	STATIC                                          
func                                            	FUNC                                            
Min                                             	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
float                                           	FLOAT                                           
a                                               	IDENTIFIER                                      
,                                               	COMMA                                           
float                                           	FLOAT                                           
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
->                                              	DELIM_FUNC_RETURN                               
float                                           	FLOAT                                           
{                                               	LEFT_BRACE                                      
if                                              	IF                                              
(                                               	LEFT_PAREN                                      
a                                               	IDENTIFIER                                      
<                                               	LEFT_ANGLED_BRACKET                             
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
a                                               	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
else                                            	ELSE                                            
if                                              	IF                                              
(                                               	LEFT_PAREN                                      
a                                               	IDENTIFIER                                      
>                                               	RIGHT_ANGLED_BRACKET                            
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
b                                               	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
else                                            	ELSE                                            
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
0                                               	NUM_LITERAL                                     
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
}                                               	RIGHT_BRACE                                     
public                                          	PUBLIC                                          
static                                          	STATIC                                          
func                                            	FUNC                                            
Equates                                         	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
float                                           	FLOAT                                           
a                                               	IDENTIFIER                                      
,                                               	COMMA                                           
float                                           	FLOAT                                           
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
->                                              	DELIM_FUNC_RETURN                               
bool                                            	BOOL                                            
{                                               	LEFT_BRACE                                      
if                                              	IF                                              
(                                               	LEFT_PAREN                                      
a                                               	IDENTIFIER                                      
==                                              	REL_EQUALITY                                    
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
trues                                           	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
return                                          	RETURN                                          
false                                           	FALSE                                           
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
public                                          	PUBLIC                                          
func                                            	FUNC                                            
GetDay                                          	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
