Valid tokens count: 118
Error tokens count: 0
Elapsed time: 0.0009980201721191406 s

public                                          	PUBLIC                                          
class                                           	CLASS                                           
ChatHandler                                     	IDENTIFIER                                      
{                                               	LEFT_BRACE                                      
public                                          	PUBLIC                                          
event                                           	EVENT                                           
OnSendMessage                                   	IDENTIFIER                                      
{                                               	LEFT_BRACE                                      
string                                          	STRING                                          
,                                               	COMMA                                           
bool                                            	BOOL                                            
}                                               	RIGHT_BRACE                                     
public                                          	PUBLIC                                          
delayed                                         	DELAYED                                         
func                                            	FUNC                                            
SendMessage                                     	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
string                                          	STRING                                          
message                                         	IDENTIFIER                                      
,                                               	COMMA                                           
bool                                            	BOOL                                            
isHost                                          	IDENTIFIER                                      
,                                               	COMMA                                           
time                                            	TIME                                            
delay                                           	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
OnSendMessage                                   	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
message                                         	IDENTIFIER                                      
,                                               	COMMA                                           
isHost                                          	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
}                                               	RIGHT_BRACE                                     
public                                          	PUBLIC                                          
class                                           	CLASS                                           
ChatListener                                    	IDENTIFIER                                      
{                                               	LEFT_BRACE                                      
public                                          	PUBLIC                                          
string                                          	STRING                                          
Message                                         	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
public                                          	PUBLIC                                          
bool                                            	BOOL                                            
IsHost                                          	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
public                                          	PUBLIC                                          
func                                            	FUNC                                            
UpdateMessage                                   	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
string                                          	STRING                                          
message                                         	IDENTIFIER                                      
,                                               	COMMA                                           
bool                                            	BOOL                                            
isHost                                          	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
Message                                         	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
message                                         	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
IsHost                                          	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
isHost                                          	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
}                                               	RIGHT_BRACE                                     
public                                          	PUBLIC                                          
class                                           	CLASS                                           
Main                                            	IDENTIFIER                                      
{                                               	LEFT_BRACE                                      
func                                            	FUNC                                            
Main                                            	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
millisecond                                     	IDENTIFIER                                      
delay                                           	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
100                                             	NUM_LITERAL                                     
;                                               	END_STATEMENT                                   
var                                             	VAR                                             
chatHandler                                     	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
ChatHandler                                     	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
var                                             	VAR                                             
chatListener                                    	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
ChatListener                                    	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
chatHandler                                     	IDENTIFIER                                      
.                                               	OP_DOT                                          
OnSendMessage                                   	IDENTIFIER                                      
=>                                              	DELIM_FIELD_RETURN                              
chatListener                                    	IDENTIFIER                                      
.                                               	OP_DOT                                          
UpdateMessage                                   	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
chatHandler                                     	IDENTIFIER                                      
.                                               	OP_DOT                                          
SendMessage                                     	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
'Hello world.'                                  	STRING_LITERAL                                  
,                                               	COMMA                                           
true                                            	TRUE                                            
,                                               	COMMA                                           
delay                                           	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
}                                               	RIGHT_BRACE                                     
