Valid tokens count: 258
Error tokens count: 0
Elapsed time: 0.00299072265625 s

module                                          	KEYWORD                                         
GameManagers                                    	IDENTIFIER                                      
{                                               	LEFT_BRACE                                      
public                                          	KEYWORD                                         
class                                           	KEYWORD                                         
EntityManager                                   	IDENTIFIER                                      
:                                               	COLON                                           
Manager                                         	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
MonoBehaviour                                   	IDENTIFIER                                      
,                                               	COMMA                                           
IInitializable                                  	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
bool                                            	KEYWORD                                         
_isInitialized                                  	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
public                                          	KEYWORD                                         
bool                                            	KEYWORD                                         
IsInitialized                                   	IDENTIFIER                                      
=>                                              	DELIM_FIELD_RETURN                              
_isInitialized                                  	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
dict                                            	KEYWORD                                         
_entityList                                     	IDENTIFIER                                      
=                                               	OP_EQUALITY                                     
{                                               	LEFT_BRACE                                      
string                                          	KEYWORD                                         
,                                               	COMMA                                           
EntityData                                      	IDENTIFIER                                      
}                                               	RIGHT_BRACE                                     
#                                               	COMMENT_SINGLE                                  
public                                          	KEYWORD                                         
Vector3                                         	IDENTIFIER                                      
SpawnCoordinates                                	IDENTIFIER                                      
=                                               	OP_EQUALITY                                     
new                                             	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
0                                               	NUM_LITERAL                                     
f                                               	NUM_SUFFIX                                      
,                                               	COMMA                                           
0                                               	NUM_LITERAL                                     
f                                               	NUM_SUFFIX                                      
,                                               	COMMA                                           
0                                               	NUM_LITERAL                                     
f                                               	NUM_SUFFIX                                      
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
func                                            	KEYWORD                                         
Initialize                                      	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
if                                              	KEYWORD                                         
(                                               	LEFT_PAREN                                      
