Valid tokens count: 94
Error tokens count: 0
Elapsed time: 0.0 s

public                                          	PUBLIC                                          
class                                           	CLASS                                           
Iterative                                       	IDENTIFIER                                      
{                                               	LEFT_BRACE                                      
int                                             	INT                                             
[                                               	LEFT_BRACKET                                    
]                                               	RIGHT_BRACKET                                   
nums                                            	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
{                                               	LEFT_BRACE                                      
1                                               	NUM_LITERAL                                     
,                                               	COMMA                                           
2                                               	NUM_LITERAL                                     
,                                               	COMMA                                           
3                                               	NUM_LITERAL                                     
,                                               	COMMA                                           
4                                               	NUM_LITERAL                                     
,                                               	COMMA                                           
5                                               	NUM_LITERAL                                     
}                                               	RIGHT_BRACE                                     
func                                            	FUNC                                            
Main                                            	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
for                                             	FOR                                             
int                                             	INT                                             
i                                               	IDENTIFIER                                      
in                                              	IN                                              
5                                               	NUM_LITERAL                                     
{                                               	LEFT_BRACE                                      
Print                                           	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
i                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
for                                             	FOR                                             
int                                             	INT                                             
j                                               	IDENTIFIER                                      
in                                              	IN                                              
nums                                            	IDENTIFIER                                      
{                                               	LEFT_BRACE                                      
Print                                           	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
j                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
int                                             	INT                                             
k                                               	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
0                                               	NUM_LITERAL                                     
;                                               	END_STATEMENT                                   
while                                           	WHILE                                           
(                                               	LEFT_PAREN                                      
k                                               	IDENTIFIER                                      
<                                               	LEFT_ANGLED_BRACKET                             
6                                               	NUM_LITERAL                                     
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
Print                                           	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
k                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
k                                               	IDENTIFIER                                      
++                                              	UNARY_ADD                                       
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
int                                             	INT                                             
h                                               	IDENTIFIER                                      
=                                               	OP_ASSIGN                                       
17                                              	NUM_LITERAL                                     
;                                               	END_STATEMENT                                   
do                                              	DO                                              
{                                               	LEFT_BRACE                                      
Print                                           	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
'first'                                         	STRING_LITERAL                                  
)                                               	RIGHT_PAREN                                     
;                                               	END_STATEMENT                                   
h                                               	IDENTIFIER                                      
--                                              	UNARY_SUB                                       
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
while                                           	WHILE                                           
(                                               	LEFT_PAREN                                      
h                                               	IDENTIFIER                                      
>                                               	RIGHT_ANGLED_BRACKET                            
0                                               	NUM_LITERAL                                     
)                                               	RIGHT_PAREN                                     
}                                               	RIGHT_BRACE                                     
}                                               	RIGHT_BRACE                                     
