Valid tokens count: 206
Error tokens count: 0
Elapsed time: 0.000997304916381836 s

public                                          	PUBLIC                                          
class                                           	CLASS                                           
Funcs                                           	IDENTIFIER                                      
{                                               	LEFT_BRACE                                      
public                                          	PUBLIC                                          
static                                          	STATIC                                          
func                                            	FUNC                                            
Max                                             	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
float                                           	FLOAT                                           
a                                               	IDENTIFIER                                      
,                                               	COMMA                                           
float                                           	FLOAT                                           
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
->                                              	DELIM_FUNC_RETURN                               
float                                           	FLOAT                                           
{                                               	LEFT_BRACE                                      
if                                              	IF                                              
(                                               	LEFT_PAREN                                      
a                                               	IDENTIFIER                                      
>                                               	RIGHT_ANGLED_BRACKET                            
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
a                                               	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
else                                            	ELSE                                            
if                                              	IF                                              
(                                               	LEFT_PAREN                                      
a                                               	IDENTIFIER                                      
<                                               	LEFT_ANGLED_BRACKET                             
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
b                                               	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
else                                            	ELSE                                            
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
0                                               	NUM_LITERAL                                     
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
}                                               	RIGHT_BRACE                                     
public                                          	PUBLIC                                          
static                                          	STATIC                                          
func                                            	FUNC                                            
Min                                             	IDENTIFIER                                      
(                                               	LEFT_PAREN                                      
float                                           	FLOAT                                           
a                                               	IDENTIFIER                                      
,                                               	COMMA                                           
float                                           	FLOAT                                           
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
->                                              	DELIM_FUNC_RETURN                               
float                                           	FLOAT                                           
{                                               	LEFT_BRACE                                      
if                                              	IF                                              
(                                               	LEFT_PAREN                                      
a                                               	IDENTIFIER                                      
<                                               	LEFT_ANGLED_BRACKET                             
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
a                                               	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
}                                               	RIGHT_BRACE                                     
else                                            	ELSE                                            
if                                              	IF                                              
(                                               	LEFT_PAREN                                      
a                                               	IDENTIFIER                                      
>                                               	RIGHT_ANGLED_BRACKET                            
b                                               	IDENTIFIER                                      
)                                               	RIGHT_PAREN                                     
{                                               	LEFT_BRACE                                      
return                                          	RETURN                                          
b                                               	IDENTIFIER                                      
;                                               	END_STATEMENT                                   
